#,Name,Japanese_Name,Type 1,Type 2,Total,HP,Attack,Speed,Defense,Happiness,Sp. Atk,Sp. Def,Legendary,Generation,Classfication,Capture_Rate,Egg_Steps,Experience_Growth,Height_M,Weight_Kg,Percentage_Male,Abilities
136,Flareon,Boosterブースター,Fire,,525,65,130,65,60,70,95,110,FALSE,1,Flame Pokémon,45,8960,1000000,0.9,25,88.1,"['Flash Fire', 'Guts']"
137,Porygon,Porygonポリゴン,Normal,,395,65,60,40,70,70,85,75,FALSE,1,Virtual Pokémon,45,5120,1000000,0.8,36.5,,"['Trace', 'Download', 'Analytic']"
138,Omanyte,Omniteオムナイト,Rock,Water,355,35,40,35,100,70,90,55,FALSE,1,Spiral Pokémon,45,7680,1000000,0.4,7.5,88.1,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
139,Omastar,Omstarオムスター,Rock,Water,495,70,60,55,125,70,115,70,FALSE,1,Spiral Pokémon,45,7680,1000000,1,35,88.1,"['Swift Swim', 'Shell Armor', 'Weak Armor']"
140,Kabuto,Kabutoカブト,Rock,Water,355,30,80,55,90,70,55,45,FALSE,1,Shellfish Pokémon,45,7680,1000000,0.5,11.5,88.1,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
141,Kabutops,Kabutopsカブトプス,Rock,Water,495,60,115,80,105,70,65,70,FALSE,1,Shellfish Pokémon,45,7680,1000000,1.3,40.5,88.1,"['Swift Swim', 'Battle Armor', 'Weak Armor']"
142,Aerodactyl,Pteraプテラ,Rock,Flying,515,80,105,130,65,70,60,75,FALSE,1,Fossil Pokémon,45,8960,1250000,1.8,59,88.1,"['Rock Head', 'Pressure', 'Unnerve']"
143,Snorlax,Kabigonカビゴン,Normal,,540,160,110,30,65,70,65,110,FALSE,1,Sleeping Pokémon,25,10240,1250000,2.1,460,88.1,"['Immunity', 'Thick Fat', 'Gluttony']"
144,Articuno,Freezerフリーザー,Ice,Flying,580,90,85,85,100,35,95,125,TRUE,1,Freeze Pokémon,3,20480,1250000,1.7,55.4,,"['Pressure', 'Snow Cloak']"
145,Zapdos,Thunderサンダー,Electric,Flying,580,90,90,100,85,35,125,90,TRUE,1,Electric Pokémon,3,20480,1250000,1.6,52.6,,"['Pressure', 'Static']"
146,Moltres,Fireファイヤー,Fire,Flying,580,90,100,90,90,35,125,85,TRUE,1,Flame Pokémon,3,20480,1250000,2,60,,"['Pressure', 'Flame Body']"
147,Dratini,Miniryuミニリュウ,Dragon,,300,41,64,50,45,35,50,50,FALSE,1,Dragon Pokémon,45,10240,1250000,1.8,3.3,50,"['Shed Skin', 'Marvel Scale']"
148,Dragonair,Hakuryuハクリュー,Dragon,,420,61,84,70,65,35,70,70,FALSE,1,Dragon Pokémon,45,10240,1250000,4,16.5,50,"['Shed Skin', 'Marvel Scale']"
149,Dragonite,Kairyuカイリュー,Dragon,Flying,600,91,134,80,95,35,100,100,FALSE,1,Dragon Pokémon,45,10240,1250000,2.2,210,50,"['Inner Focus', 'Multiscale']"
150,Mewtwo,Mewtwoミュウツー,Psychic,,680,106,110,130,90,0,154,90,TRUE,1,Genetic Pokémon,3,30720,1250000,2,122,,"['Pressure', 'Unnerve']"
151,Mew,Mewミュウ,Psychic,,600,100,100,100,100,100,100,100,FALSE,1,New Species Pokémon,45,30720,1059860,0.4,4,,['Synchronize']
152,Chikorita,Chicoritaチコリータ,Grass,,318,45,49,45,65,70,49,65,FALSE,2,Leaf Pokémon,45,5120,1059860,0.9,6.4,88.1,"['Overgrow', 'Leaf Guard']"
153,Bayleef,Bayleafベイリーフ,Grass,,405,60,62,60,80,70,63,80,FALSE,2,Leaf Pokémon,45,5120,1059860,1.2,15.8,88.1,"['Overgrow', 'Leaf Guard']"
154,Meganium,Meganiumメガニウム,Grass,,525,80,82,80,100,70,83,100,FALSE,2,Herb Pokémon,45,5120,1059860,1.8,100.5,88.1,"['Overgrow', 'Leaf Guard']"
155,Cyndaquil,Hinoarashiヒノアラシ,Fire,,309,39,52,65,43,70,60,50,FALSE,2,Fire Mouse Pokémon,45,5120,1059860,0.5,7.9,88.1,"['Blaze', 'Flash Fire']"
156,Quilava,Magmarashiマグマラシ,Fire,,405,58,64,80,58,70,80,65,FALSE,2,Volcano Pokémon,45,5120,1059860,0.9,19,88.1,"['Blaze', 'Flash Fire']"
157,Typhlosion,Bakphoonバクフーン,Fire,,534,78,84,100,78,70,109,85,FALSE,2,Volcano Pokémon,45,5120,1059860,1.7,79.5,88.1,"['Blaze', 'Flash Fire']"
158,Totodile,Waninokoワニノコ,Water,,314,50,65,43,64,70,44,48,FALSE,2,Big Jaw Pokémon,45,5120,1059860,0.6,9.5,88.1,"['Torrent', 'Sheer Force']"
159,Croconaw,Alligatesアリゲイツ,Water,,405,65,80,58,80,70,59,63,FALSE,2,Big Jaw Pokémon,45,5120,1059860,1.1,25,88.1,"['Torrent', 'Sheer Force']"
160,Feraligatr,Ordileオーダイル,Water,,530,85,105,78,100,70,79,83,FALSE,2,Big Jaw Pokémon,45,5120,1059860,2.3,88.8,88.1,"['Torrent', 'Sheer Force']"
161,Sentret,Otachiオタチ,Normal,,215,35,46,20,34,70,35,45,FALSE,2,Scout Pokémon,255,3840,1000000,0.8,6,50,"['Run Away', 'Keen Eye', 'Frisk']"
162,Furret,Ootachiオオタチ,Normal,,415,85,76,90,64,70,45,55,FALSE,2,Long Body Pokémon,90,3840,1000000,1.8,32.5,50,"['Run Away', 'Keen Eye', 'Frisk']"
163,Hoothoot,Hohoホーホー,Normal,Flying,262,60,30,50,30,70,36,56,FALSE,2,Owl Pokémon,255,3840,1000000,0.7,21.2,50,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
164,Noctowl,Yorunozukuヨルノズク,Normal,Flying,442,100,50,70,50,70,76,96,FALSE,2,Owl Pokémon,90,3840,1000000,1.6,40.8,50,"['Insomnia', 'Keen Eye', 'Tinted Lens']"
165,Ledyba,Redibaレディバ,Bug,Flying,265,40,20,55,30,70,40,80,FALSE,2,Five Star Pokémon,255,3840,800000,1,10.8,50,"['Swarm', 'Early Bird', 'Rattled']"
166,Ledian,Redianレディアン,Bug,Flying,390,55,35,85,50,70,55,110,FALSE,2,Five Star Pokémon,90,3840,800000,1.4,35.6,50,"['Swarm', 'Early Bird', 'Iron Fist']"
167,Spinarak,Itomaruイトマル,Bug,Poison,250,40,60,30,40,70,40,40,FALSE,2,String Spit Pokémon,255,3840,800000,0.5,8.5,50,"['Swarm', 'Insomnia', 'Sniper']"
168,Ariados,Ariadosアリアドス,Bug,Poison,390,70,90,40,70,70,60,60,FALSE,2,Long Leg Pokémon,90,3840,800000,1.1,33.5,50,"['Swarm', 'Insomnia', 'Sniper']"
169,Crobat,Crobatクロバット,Poison,Flying,535,85,90,130,80,70,70,80,FALSE,2,Bat Pokémon,90,3840,1000000,1.8,75,50,"['Inner Focus', 'Infiltrator']"
170,Chinchou,Chonchieチョンチー,Water,Electric,330,75,38,67,38,70,56,56,FALSE,2,Angler Pokémon,190,5120,1250000,0.5,12,50,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
171,Lanturn,Lanternランターン,Water,Electric,460,125,58,67,58,70,76,76,FALSE,2,Light Pokémon,75,5120,1250000,1.2,22.5,50,"['Volt Absorb', 'Illuminate', 'Water Absorb']"
172,Pichu,Pichuピチュー,Electric,,205,20,40,60,15,70,35,35,FALSE,2,Tiny Mouse Pokémon,190,2560,1000000,0.3,2,50,"['Static', 'Lightningrod']"
173,Cleffa,Pyピィ,Fairy,,218,50,25,15,28,140,45,55,FALSE,2,Star Shape Pokémon,150,2560,800000,0.3,3,24.6,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
174,Igglybuff,Pupurinププリン,Normal,Fairy,210,90,30,15,15,70,40,20,FALSE,2,Balloon Pokémon,170,2560,800000,0.3,1,24.6,"['Cute Charm', 'Competitive', 'Friend Guard']"
175,Togepi,Togepyトゲピー,Fairy,,245,35,20,20,65,70,40,65,FALSE,2,Spike Ball Pokémon,190,2560,800000,0.3,1.5,88.1,"['Hustle', 'Serene Grace', 'Super Luck']"
176,Togetic,Togechickトゲチック,Fairy,Flying,405,55,40,40,85,70,80,105,FALSE,2,Happiness Pokémon,75,2560,800000,0.6,3.2,88.1,"['Hustle', 'Serene Grace', 'Super Luck']"
177,Natu,Natyネイティ,Psychic,Flying,320,40,50,70,45,70,70,45,FALSE,2,Little Bird Pokémon,190,5120,1000000,0.2,2,50,"['Synchronize', 'Early Bird', 'Magic Bounce']"
178,Xatu,Natioネイティオ,Psychic,Flying,470,65,75,95,70,70,95,70,FALSE,2,Mystic Pokémon,75,5120,1000000,1.5,15,50,"['Synchronize', 'Early Bird', 'Magic Bounce']"
179,Mareep,Merriepメリープ,Electric,,280,55,40,35,40,70,65,45,FALSE,2,Wool Pokémon,235,5120,1059860,0.6,7.8,50,"['Static', 'Plus']"
180,Flaaffy,Mokokoモココ,Electric,,365,70,55,45,55,70,80,60,FALSE,2,Wool Pokémon,120,5120,1059860,0.8,13.3,50,"['Static', 'Plus']"
181,Ampharos,Denryuデンリュウ,Electric,,510,90,75,55,85,70,115,90,FALSE,2,Light Pokémon,45,5120,1059860,1.4,61.5,50,"['Static', 'Plus']"
182,Bellossom,Kireihanaキレイハナ,Grass,,490,75,80,50,95,70,90,100,FALSE,2,Flower Pokémon,45,5120,1059860,0.4,5.8,50,"['Chlorophyll', 'Healer']"
183,Marill,Marilマリル,Water,Fairy,250,70,20,40,50,70,20,50,FALSE,2,Aquamouse Pokémon,190,2560,800000,0.4,8.5,50,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
184,Azumarill,Marilliマリルリ,Water,Fairy,420,100,50,50,80,70,60,80,FALSE,2,Aquarabbit Pokémon,75,2560,800000,0.8,28.5,50,"['Thick Fat', 'Huge Power', 'Sap Sipper']"
185,Sudowoodo,Usokkieウソッキー,Rock,,410,70,100,30,115,70,30,65,FALSE,2,Imitation Pokémon,65,5120,1000000,1.2,38,50,"['Sturdy', 'Rock Head', 'Rattled']"
186,Politoed,Nyorotonoニョロトノ,Water,,500,90,75,70,75,70,90,100,FALSE,2,Frog Pokémon,45,5120,1059860,1.1,33.9,50,"['Water Absorb', 'Damp', 'Drizzle']"
187,Hoppip,Haneccoハネッコ,Grass,Flying,250,35,35,50,40,70,35,55,FALSE,2,Cottonweed Pokémon,255,5120,1059860,0.4,0.5,50,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
188,Skiploom,Popoccoポポッコ,Grass,Flying,340,55,45,80,50,70,45,65,FALSE,2,Cottonweed Pokémon,120,5120,1059860,0.6,1,50,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
189,Jumpluff,Wataccoワタッコ,Grass,Flying,460,75,55,110,70,70,55,95,FALSE,2,Cottonweed Pokémon,45,5120,1059860,0.8,3,50,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
190,Aipom,Eipamエイパム,Normal,,360,55,70,85,55,70,40,55,FALSE,2,Long Tail Pokémon,45,5120,800000,0.8,11.5,50,"['Run Away', 'Pickup', 'Skill Link']"
191,Sunkern,Himanutsヒマナッツ,Grass,,180,30,30,30,30,70,30,30,FALSE,2,Seed Pokémon,235,5120,1059860,0.3,1.8,50,"['Chlorophyll', 'Solar Power', 'Early Bird']"
192,Sunflora,Kimawariキマワリ,Grass,,425,75,75,30,55,70,105,85,FALSE,2,Sun Pokémon,120,5120,1059860,0.8,8.5,50,"['Chlorophyll', 'Solar Power', 'Early Bird']"
193,Yanma,Yanyanmaヤンヤンマ,Bug,Flying,390,65,65,95,45,70,75,45,FALSE,2,Clear Wing Pokémon,75,5120,1000000,1.2,38,50,"['Speed Boost', 'Compoundeyes', 'Frisk']"
194,Wooper,Upahウパー,Water,Ground,210,55,45,15,45,70,25,25,FALSE,2,Water Fish Pokémon,255,5120,1000000,0.4,8.5,50,"['Damp', 'Water Absorb', 'Unaware']"
195,Quagsire,Nuohヌオー,Water,Ground,430,95,85,35,85,70,65,65,FALSE,2,Water Fish Pokémon,90,5120,1000000,1.4,75,50,"['Damp', 'Water Absorb', 'Unaware']"
196,Espeon,Eifieエーフィ,Psychic,,525,65,65,110,60,70,130,95,FALSE,2,Sun Pokémon,45,8960,1000000,0.9,26.5,88.1,"['Synchronize', 'Magic Bounce']"
197,Umbreon,Blackyブラッキー,Dark,,525,95,65,65,110,35,60,130,FALSE,2,Moonlight Pokémon,45,8960,1000000,1,27,88.1,"['Synchronize', 'Inner Focus']"
198,Murkrow,Yamikarasuヤミカラス,Dark,Flying,405,60,85,91,42,35,85,42,FALSE,2,Darkness Pokémon,30,5120,1059860,0.5,2.1,50,"['Insomnia', 'Super Luck', 'Prankster']"
199,Slowking,Yadokingヤドキング,Water,Psychic,490,95,75,30,80,70,100,110,FALSE,2,Royal Pokémon,70,5120,1000000,2,79.5,50,"['Oblivious', 'Own Tempo', 'Regenerator']"
200,Misdreavus,Mumaムウマ,Ghost,,435,60,60,85,60,35,85,85,FALSE,2,Screech Pokémon,45,6400,800000,0.7,1,50,['Levitate']
201,Unown,Unknownアンノーン,Psychic,,336,48,72,48,48,70,72,48,FALSE,2,Symbol Pokémon,225,10240,1000000,0.5,5,,['Levitate']
202,Wobbuffet,Sonansソーナンス,Psychic,,405,190,33,33,58,70,33,58,FALSE,2,Patient Pokémon,45,5120,1000000,1.3,28.5,50,"['Shadow Tag', 'Telepathy']"
203,Girafarig,Kirinrikiキリンリキ,Normal,Psychic,455,70,80,85,65,70,90,65,FALSE,2,Long Neck Pokémon,60,5120,1000000,1.5,41.5,50,"['Inner Focus', 'Early Bird', 'Sap Sipper']"
204,Pineco,Kunugidamaクヌギダマ,Bug,,290,50,65,15,90,70,35,35,FALSE,2,Bagworm Pokémon,190,5120,1000000,0.6,7.2,50,"['Sturdy', 'Overcoat']"
205,Forretress,Foretosフォレトス,Bug,Steel,465,75,90,40,140,70,60,60,FALSE,2,Bagworm Pokémon,75,5120,1000000,1.2,125.8,50,"['Sturdy', 'Overcoat']"
206,Dunsparce,Nokocchiノコッチ,Normal,,415,100,70,45,70,70,65,65,FALSE,2,Land Snake Pokémon,190,5120,1000000,1.5,14,50,"['Serene Grace', 'Run Away', 'Rattled']"
207,Gligar,Gligerグライガー,Ground,Flying,430,65,75,85,105,70,35,65,FALSE,2,Flyscorpion Pokémon,60,5120,1059860,1.1,64.8,50,"['Hyper Cutter', 'Sand Veil', 'Immunity']"
208,Steelix,Haganeilハガネール,Steel,Ground,510,75,85,30,200,70,55,65,FALSE,2,Iron Snake Pokémon,25,6400,1000000,9.2,400,50,"['Rock Head', 'Sturdy', 'Sheer Force']"
209,Snubbull,Buluブルー,Fairy,,300,60,80,30,50,70,40,40,FALSE,2,Fairy Pokémon,190,5120,800000,0.6,7.8,24.6,"['Intimidate', 'Run Away', 'Rattled']"
210,Granbull,Granbuluグランブル,Fairy,,450,90,120,45,75,70,60,60,FALSE,2,Fairy Pokémon,75,5120,800000,1.4,48.7,24.6,"['Intimidate', 'Quick Feet', 'Rattled']"
211,Qwilfish,Harysenハリーセン,Water,Poison,430,65,95,85,75,70,55,55,FALSE,2,Balloon Pokémon,45,5120,1000000,0.5,3.9,50,"['Poison Point', 'Swift Swim', 'Intimidate']"
212,Scizor,Hassamハッサム,Bug,Steel,500,70,130,65,100,70,55,80,FALSE,2,Pincer Pokémon,25,6400,1000000,1.8,118,50,"['Swarm', 'Technician', 'Light Metal']"
213,Shuckle,Tsubotsuboツボツボ,Bug,Rock,505,20,10,5,230,70,10,230,FALSE,2,Mold Pokémon,190,5120,1059860,0.6,20.5,50,"['Sturdy', 'Gluttony', 'Contrary']"
214,Heracross,Heracrosヘラクロス,Bug,Fighting,500,80,125,85,75,70,40,95,FALSE,2,Singlehorn Pokémon,45,6400,1250000,1.5,54,50,"['Swarm', 'Guts', 'Moxie']"
215,Sneasel,Nyulaニューラ,Dark,Ice,430,55,95,115,55,35,35,75,FALSE,2,Sharp Claw Pokémon,60,5120,1059860,0.9,28,50,"['Inner Focus', 'Keen Eye', 'Pickpocket']"
216,Teddiursa,Himegumaヒメグマ,Normal,,330,60,80,40,50,70,50,50,FALSE,2,Little Bear Pokémon,120,5120,1000000,0.6,8.8,50,"['Pickup', 'Quick Feet', 'Honey Gather']"
217,Ursaring,Ringumaリングマ,Normal,,500,90,130,55,75,70,75,75,FALSE,2,Hibernator Pokémon,60,5120,1000000,1.8,125.8,50,"['Guts', 'Quick Feet', 'Unnerve']"
218,Slugma,Magmagマグマッグ,Fire,,250,40,40,20,40,70,70,40,FALSE,2,Lava Pokémon,190,5120,1000000,0.7,35,50,"['Magma Armor', 'Flame Body', 'Weak Armor']"
219,Magcargo,Magcargotマグカルゴ,Fire,Rock,410,50,50,30,120,70,80,80,FALSE,2,Lava Pokémon,75,5120,1000000,0.8,55,50,"['Magma Armor', 'Flame Body', 'Weak Armor']"
220,Swinub,Urimooウリムー,Ice,Ground,250,50,50,50,40,70,30,30,FALSE,2,Pig Pokémon,225,5120,1250000,0.4,6.5,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
221,Piloswine,Inomooイノムー,Ice,Ground,450,100,100,50,80,70,60,60,FALSE,2,Swine Pokémon,75,5120,1250000,1.1,55.8,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
222,Corsola,Sunnygoサニーゴ,Water,Rock,380,55,55,35,85,70,65,85,FALSE,2,Coral Pokémon,60,5120,800000,0.6,5,24.6,"['Hustle', 'Natural Cure', 'Regenerator']"
223,Remoraid,Teppouoテッポウオ,Water,,300,35,65,65,35,70,65,35,FALSE,2,Jet Pokémon,190,5120,1000000,0.6,12,50,"['Hustle', 'Sniper', 'Moody']"
224,Octillery,Okutankオクタン,Water,,480,75,105,45,75,70,105,75,FALSE,2,Jet Pokémon,75,5120,1000000,0.9,28.5,50,"['Suction Cups', 'Sniper', 'Moody']"
225,Delibird,Delibirdデリバード,Ice,Flying,330,45,55,75,45,70,65,45,FALSE,2,Delivery Pokémon,45,5120,800000,0.9,16,50,"['Vital Spirit', 'Hustle', 'Insomnia']"
226,Mantine,Mantainマンタイン,Water,Flying,465,65,40,70,70,70,80,140,FALSE,2,Kite Pokémon,25,6400,1250000,2.1,220,50,"['Swift Swim', 'Water Absorb', 'Water Veil']"
227,Skarmory,Airmdエアームド,Steel,Flying,465,65,80,70,140,70,40,70,FALSE,2,Armor Bird Pokémon,25,6400,1250000,1.7,50.5,50,"['Keen Eye', 'Sturdy', 'Weak Armor']"
228,Houndour,Delvilデルビル,Dark,Fire,330,45,60,65,30,35,80,50,FALSE,2,Dark Pokémon,120,5120,1250000,0.6,10.8,50,"['Early Bird', 'Flash Fire', 'Unnerve']"
229,Houndoom,Hellgarヘルガー,Dark,Fire,500,75,90,95,50,35,110,80,FALSE,2,Dark Pokémon,45,5120,1250000,1.4,35,50,"['Early Bird', 'Flash Fire', 'Unnerve']"
230,Kingdra,Kingdraキングドラ,Water,Dragon,540,75,95,85,95,70,95,95,FALSE,2,Dragon Pokémon,45,5120,1000000,1.8,152,50,"['Swift Swim', 'Sniper', 'Damp']"
231,Phanpy,Gomazouゴマゾウ,Ground,,330,90,60,40,60,70,40,40,FALSE,2,Long Nose Pokémon,120,5120,1000000,0.5,33.5,50,"['Pickup', 'Sand Veil']"
232,Donphan,Donfanドンファン,Ground,,500,90,120,50,120,70,60,60,FALSE,2,Armor Pokémon,60,5120,1000000,1.1,120,50,"['Sturdy', 'Sand Veil']"
233,Porygon2,Porygon2ポリゴン２,Normal,,515,85,80,60,90,70,105,95,FALSE,2,Virtual Pokémon,45,5120,1000000,0.6,32.5,,"['Trace', 'Download', 'Analytic']"
234,Stantler,Odoshishiオドシシ,Normal,,465,73,95,85,62,70,85,65,FALSE,2,Big Horn Pokémon,45,5120,1250000,1.4,71.2,50,"['Intimidate', 'Frisk', 'Sap Sipper']"
235,Smeargle,Dobleドーブル,Normal,,250,55,20,75,35,70,20,45,FALSE,2,Painter Pokémon,45,5120,800000,1.2,58,50,"['Own Tempo', 'Technician', 'Moody']"
236,Tyrogue,Balkieバルキー,Fighting,,210,35,35,35,35,70,35,35,FALSE,2,Scuffle Pokémon,75,6400,1000000,0.7,21,100,"['Guts', 'Steadfast', 'Vital Spirit']"
237,Hitmontop,Kapoererカポエラー,Fighting,,455,50,95,70,95,70,35,110,FALSE,2,Handstand Pokémon,45,6400,1000000,1.4,48,100,"['Intimidate', 'Technician', 'Steadfast']"
238,Smoochum,Muchulムチュール,Ice,Psychic,305,45,30,65,15,70,85,65,FALSE,2,Kiss Pokémon,45,6400,1000000,0.4,6,0,"['Oblivious', 'Forewarn', 'Hydration']"
239,Elekid,Elekidエレキッド,Electric,,360,45,63,95,37,70,65,55,FALSE,2,Electric Pokémon,45,6400,1000000,0.6,23.5,75.4,"['Static', 'Vital Spirit']"
240,Magby,Bubyブビィ,Fire,,365,45,75,83,37,70,70,55,FALSE,2,Live Coal Pokémon,45,6400,1000000,0.7,21.4,75.4,"['Flame Body', 'Vital Spirit']"
241,Miltank,Miltankミルタンク,Normal,,490,95,80,100,105,70,40,70,FALSE,2,Milk Cow Pokémon,45,5120,1250000,1.2,75.5,0,"['Thick Fat', 'Scrappy', 'Sap Sipper']"
242,Blissey,Happinasハピナス,Normal,,540,255,10,55,10,140,75,135,FALSE,2,Happiness Pokémon,30,10240,800000,1.5,46.8,0,"['Natural Cure', 'Serene Grace', 'Healer']"
243,Raikou,Raikouライコウ,Electric,,580,90,85,115,75,35,115,100,TRUE,2,Thunder Pokémon,3,20480,1250000,1.9,178,,"['Pressure', 'Inner Focus']"
244,Entei,Enteiエンテイ,Fire,,580,115,115,100,85,35,90,75,TRUE,2,Volcano Pokémon,3,20480,1250000,2.1,198,,"['Pressure', 'Inner Focus']"
245,Suicune,Suicuneスイクン,Water,,580,100,75,85,115,35,90,115,TRUE,2,Aurora Pokémon,3,20480,1250000,2,187,,"['Pressure', 'Inner Focus']"
246,Larvitar,Yogirasヨーギラス,Rock,Ground,300,50,64,41,50,35,45,50,FALSE,2,Rock Skin Pokémon,45,10240,1250000,0.6,72,50,"['Guts', 'Sand Veil']"
247,Pupitar,Sanagirasサナギラス,Rock,Ground,410,70,84,51,70,35,65,70,FALSE,2,Hard Shell Pokémon,45,10240,1250000,1.2,152,50,['Shed Skin']
248,Tyranitar,Bangirasバンギラス,Rock,Dark,600,100,134,61,110,35,95,100,FALSE,2,Armor Pokémon,45,10240,1250000,2,202,50,"['Sand Stream', 'Unnerve']"
249,Lugia,Lugiaルギア,Psychic,Flying,680,106,90,110,130,0,90,154,TRUE,2,Diving Pokémon,3,30720,1250000,5.2,216,,"['Pressure', 'Multiscale']"
250,Ho-oh,Hououホウオウ,Fire,Flying,680,106,130,90,90,0,110,154,TRUE,2,Rainbow Pokémon,3,30720,1250000,3.8,199,,"['Pressure', 'Regenerator']"
251,Celebi,Celebiセレビィ,Psychic,Grass,600,100,100,100,100,100,100,100,FALSE,2,Time Travel Pokémon,45,30720,1059860,0.6,5,,['Natural Cure']
252,Treecko,Kimoriキモリ,Grass,,310,40,45,70,35,70,65,55,FALSE,3,Wood Gecko Pokémon,45,5120,1059860,0.5,5,88.1,"['Overgrow', 'Unburden']"
253,Grovyle,Juptileジュプトル,Grass,,405,50,65,95,45,70,85,65,FALSE,3,Wood Gecko Pokémon,45,5120,1059860,0.9,21.6,88.1,"['Overgrow', 'Unburden']"
254,Sceptile,Jukainジュカイン,Grass,,530,70,85,120,65,70,105,85,FALSE,3,Forest Pokémon,45,5120,1059860,1.7,52.2,88.1,"['Overgrow', 'Unburden']"
255,Torchic,Achamoアチャモ,Fire,,310,45,60,45,40,70,70,50,FALSE,3,Chick Pokémon,45,5120,1059860,0.4,2.5,88.1,"['Blaze', 'Speed Boost']"
256,Combusken,Wakasyamoワカシャモ,Fire,Fighting,405,60,85,55,60,70,85,60,FALSE,3,Young Fowl Pokémon,45,5120,1059860,0.9,19.5,88.1,"['Blaze', 'Speed Boost']"
257,Blaziken,Bursyamoバシャーモ,Fire,Fighting,530,80,120,80,70,70,110,70,FALSE,3,Blaze Pokémon,45,5120,1059860,1.9,52,88.1,"['Blaze', 'Speed Boost']"
258,Mudkip,Mizugorouミズゴロウ,Water,,310,50,70,40,50,70,50,50,FALSE,3,Mud Fish Pokémon,45,5120,1059860,0.4,7.6,88.1,"['Torrent', 'Damp']"
259,Marshtomp,Numacrawヌマクロー,Water,Ground,405,70,85,50,70,70,60,70,FALSE,3,Mud Fish Pokémon,45,5120,1059860,0.7,28,88.1,"['Torrent', 'Damp']"
260,Swampert,Laglargeラグラージ,Water,Ground,535,100,110,60,90,70,85,90,FALSE,3,Mud Fish Pokémon,45,5120,1059860,1.5,81.9,88.1,"['Torrent', 'Damp']"
261,Poochyena,Pochienaポチエナ,Dark,,220,35,55,35,35,70,30,30,FALSE,3,Bite Pokémon,255,3840,1000000,0.5,13.6,50,"['Run Away', 'Quick Feet', 'Rattled']"
262,Mightyena,Graenaグラエナ,Dark,,420,70,90,70,70,70,60,60,FALSE,3,Bite Pokémon,127,3840,1000000,1,37,50,"['Intimidate', 'Quick Feet', 'Moxie']"
263,Zigzagoon,Jiguzagumaジグザグマ,Normal,,240,38,30,60,41,70,30,41,FALSE,3,Tiny Racoon Pokémon,255,3840,1000000,0.4,17.5,50,"['Pickup', 'Gluttony', 'Quick Feet']"
264,Linoone,Massugumaマッスグマ,Normal,,420,78,70,100,61,70,50,61,FALSE,3,Rush Pokémon,90,3840,1000000,0.5,32.5,50,"['Pickup', 'Gluttony', 'Quick Feet']"
265,Wurmple,Kemussoケムッソ,Bug,,195,45,45,20,35,70,20,30,FALSE,3,Worm Pokémon,255,3840,1000000,0.3,3.6,50,"['Shield Dust', 'Run Away']"
266,Silcoon,Karasalisカラサリス,Bug,,205,50,35,15,55,70,25,25,FALSE,3,Cocoon Pokémon,120,3840,1000000,0.6,10,50,['Shed Skin']
267,Beautifly,Agehuntアゲハント,Bug,Flying,395,60,70,65,50,70,100,50,FALSE,3,Butterfly Pokémon,45,3840,1000000,1,28.4,50,"['Swarm', 'Rivalry']"
268,Cascoon,Mayuldマユルド,Bug,,205,50,35,15,55,70,25,25,FALSE,3,Cocoon Pokémon,120,3840,1000000,0.7,11.5,50,['Shed Skin']
269,Dustox,Dokucaleドクケイル,Bug,Poison,385,60,50,65,70,70,50,90,FALSE,3,Poison Moth Pokémon,45,3840,1000000,1.2,31.6,50,"['Shield Dust', 'Compoundeyes']"
270,Lotad,Hassbohハスボー,Water,Grass,220,40,30,30,30,70,40,50,FALSE,3,Water Weed Pokémon,255,3840,1059860,0.5,2.6,50,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
271,Lombre,Hasubreroハスブレロ,Water,Grass,340,60,50,50,50,70,60,70,FALSE,3,Jolly Pokémon,120,3840,1059860,1.2,32.5,50,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
272,Ludicolo,Runpappaルンパッパ,Water,Grass,480,80,70,70,70,70,90,100,FALSE,3,Carefree Pokémon,45,3840,1059860,1.5,55,50,"['Swift Swim', 'Rain Dish', 'Own Tempo']"
273,Seedot,Tanebohタネボー,Grass,,220,40,40,30,50,70,30,30,FALSE,3,Acorn Pokémon,255,3840,1059860,0.5,4,50,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
274,Nuzleaf,Konohanaコノハナ,Grass,Dark,340,70,70,60,40,70,60,40,FALSE,3,Wily Pokémon,120,3840,1059860,1,28,50,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
275,Shiftry,Dirtengダーテング,Grass,Dark,480,90,100,80,60,70,90,60,FALSE,3,Wickid Pokémon,45,3840,1059860,1.3,59.6,50,"['Chlorophyll', 'Early Bird', 'Pickpocket']"
